TP_COR_RACA,TP_SEXO,NU_IDADE,IN_RESERVA_ETNICO,IN_RESERVA_ENSINO_PUBLICO,IN_RESERVA_RENDA_FAMILIAR,IN_APOIO_SOCIAL,IN_ATIVIDADE_EXTRACURRICULAR,TP_ESCOLA_CONCLUSAO_ENS_MEDIO,TP_SITUACAO
3,1,34,0,1,0,0,0,1,formado
3,2,40,0,1,0,0,0,1,evadido
1,1,29,0,1,0,0,0,1,Cursando
3,2,30,0,1,0,0,0,1,Cursando
3,2,26,0,1,0,0,0,1,Cursando
1,1,30,0,1,0,0,0,1,formado
3,2,25,0,1,0,0,0,1,Cursando
1,2,24,0,1,0,0,0,1,Cursando
3,1,26,0,1,0,0,0,1,Cursando
3,2,30,0,1,0,0,0,1,Cursando
1,2,28,0,1,0,0,0,1,trancado
3,2,29,0,1,0,0,0,1,Cursando
3,1,27,0,1,0,0,0,1,Cursando
3,2,23,0,1,0,0,0,1,Cursando
3,1,23,0,1,0,0,0,1,Cursando
1,1,62,0,1,0,0,0,1,Cursando
3,2,24,0,1,0,0,0,1,Cursando
2,2,25,0,1,0,0,0,1,evadido
1,2,22,0,1,0,0,0,1,trancado
3,1,28,0,1,0,0,1,1,formado
3,1,22,0,1,0,0,0,1,Cursando
3,2,22,0,1,0,0,0,1,Cursando
1,2,21,0,1,0,0,0,1,trancado
1,2,22,0,1,0,0,0,1,Cursando
2,2,25,0,1,0,0,0,1,Cursando
4,2,35,0,1,0,0,0,1,evadido
3,1,33,0,1,0,0,0,1,Cursando
2,2,27,0,1,0,0,0,1,Cursando
1,2,23,0,1,0,0,0,1,Cursando
3,2,22,0,1,0,0,0,1,Cursando
1,1,20,0,1,0,0,0,1,evadido
1,2,21,0,1,0,0,0,1,Cursando
1,2,22,0,1,0,0,0,1,Cursando
3,2,21,0,1,0,0,1,1,Cursando
3,1,23,0,1,0,0,0,1,Cursando
1,1,21,0,1,0,0,0,1,trancado
3,2,22,0,1,0,0,1,1,Cursando
2,2,22,0,1,0,0,1,1,Cursando
0,2,22,0,1,0,0,0,1,Cursando
1,2,21,0,1,0,0,1,1,Cursando
3,1,21,0,1,0,0,0,1,Cursando
1,1,53,0,1,0,0,0,1,Cursando
1,2,44,0,1,0,0,0,1,evadido
3,1,47,0,1,0,0,0,1,Cursando
3,1,19,0,1,0,0,0,1,Cursando
1,2,22,0,1,0,0,0,1,Cursando
3,1,24,0,1,0,0,0,1,Cursando
3,1,22,0,1,0,0,0,1,Cursando
3,1,27,0,1,0,0,0,1,evadido
0,1,27,0,1,0,0,0,1,evadido
3,1,21,0,1,0,0,0,1,Cursando
3,1,37,0,1,0,0,0,1,Cursando
3,2,36,0,1,0,0,0,1,trancado
4,2,20,0,1,0,0,0,1,Cursando
0,1,36,0,1,0,0,0,1,Cursando
3,2,30,0,1,0,0,0,1,Cursando
3,2,21,0,1,0,0,0,1,evadido
1,1,20,0,1,0,0,0,1,evadido
3,2,27,0,1,0,0,0,1,Cursando
3,2,21,0,1,0,0,0,1,Cursando
1,2,20,0,1,0,0,0,1,evadido
1,2,23,0,1,0,0,0,1,Cursando
2,2,21,0,1,0,0,1,1,Cursando
3,2,23,0,1,0,0,0,1,Cursando
1,2,23,0,1,0,0,0,1,Cursando
3,2,20,0,1,0,0,0,1,Cursando
0,1,22,0,1,0,0,0,1,Cursando
0,2,23,0,1,0,0,0,1,trancado
3,2,21,0,1,0,0,0,1,evadido
3,1,19,0,1,0,0,1,1,Cursando
2,2,19,0,1,0,0,0,1,evadido
1,2,23,0,1,0,0,0,1,trancado
4,1,18,0,1,0,0,0,1,evadido
4,1,23,0,1,0,0,0,1,evadido
1,1,20,0,1,0,0,0,1,Cursando
3,2,18,0,1,0,0,0,1,Cursando
1,1,25,0,1,0,0,0,1,Cursando
3,1,18,0,1,0,0,0,1,evadido
3,2,40,0,1,0,0,0,1,Cursando
3,2,19,0,1,0,0,0,1,Cursando
3,2,28,0,1,0,0,0,1,Cursando
0,2,18,0,1,0,0,0,1,Cursando
2,2,19,0,1,0,0,0,1,Cursando
1,1,18,0,1,0,0,0,1,Cursando
0,2,19,0,1,0,0,0,1,Cursando
0,2,19,0,1,0,0,0,1,Cursando
3,2,21,0,1,0,0,0,1,Cursando
3,2,22,0,1,0,0,0,1,Cursando
3,1,20,0,1,0,0,0,1,Cursando
0,2,30,0,1,0,0,0,1,Cursando
1,1,19,0,1,0,0,0,1,Cursando
3,2,32,0,1,0,0,0,1,Cursando
4,1,24,0,1,0,0,0,1,evadido
1,2,24,0,1,0,0,0,1,Cursando
1,2,26,0,1,0,0,0,1,Cursando
0,1,22,0,1,0,0,0,1,Cursando
3,2,22,0,1,0,0,0,1,Cursando
0,1,24,0,1,0,0,0,1,Cursando
0,2,20,0,1,0,0,0,1,Cursando
3,2,19,0,1,0,0,0,1,evadido
0,2,21,0,1,0,0,0,1,Cursando
0,2,18,0,1,0,0,0,1,Cursando
3,2,18,0,1,0,0,0,1,Cursando
3,2,37,0,1,0,0,0,1,Cursando
1,2,20,0,1,0,0,0,1,Cursando
1,1,23,0,1,0,0,0,1,Cursando
3,1,28,0,1,0,0,0,1,Cursando
0,2,34,0,1,0,0,0,1,Cursando
3,2,28,0,1,0,0,0,1,Cursando
0,1,20,0,1,0,0,0,1,Cursando
3,2,19,0,1,0,0,0,1,Cursando
0,1,22,0,1,0,0,0,1,Cursando
1,2,25,0,1,0,0,0,1,Cursando
0,1,19,0,1,0,0,0,1,evadido
4,2,27,0,1,0,0,0,1,Cursando
0,1,19,0,1,0,0,0,1,Cursando
1,1,18,0,1,0,0,0,1,Cursando
0,2,29,0,1,0,0,0,1,Cursando
1,1,20,0,1,0,0,0,1,Cursando
0,2,36,0,1,0,0,0,1,Cursando
3,2,23,0,1,0,0,0,1,Cursando
0,1,24,0,1,0,0,0,1,Cursando
1,2,19,0,1,0,0,0,1,Cursando
1,1,19,0,1,0,0,0,1,Cursando
3,1,19,0,1,0,0,0,1,Cursando
3,2,23,0,1,0,0,1,1,Cursando
3,1,39,0,1,0,0,0,1,Cursando
1,2,23,0,1,0,0,0,1,Cursando
3,1,22,0,1,0,0,0,1,Cursando
1,1,21,0,1,0,0,0,1,Cursando
3,2,20,0,1,0,0,0,1,Cursando
3,2,21,0,1,0,0,0,1,Cursando
1,1,19,0,1,0,0,0,1,Cursando
0,2,21,0,1,0,0,0,1,Cursando
1,1,20,0,1,0,0,0,1,Cursando
1,2,25,0,1,0,0,0,1,Cursando
1,1,19,0,1,0,0,0,1,Cursando
3,1,52,0,1,0,0,0,1,Cursando
1,2,27,0,1,0,0,1,1,Cursando
